step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
372,TRANSFER,8375.89,C6173344564,191764.78,183388.89,C1809283659,158546.28,166922.17,0
454,DEBIT,3561.02,C1149460439,154268.68,150707.66,M2187592160,0.00,0.00,0
242,TRANSFER,54169.60,C8313706299,63091.19,8921.59,C3528924461,95053.67,95053.67,1
660,PAYMENT,16295.16,C9166381136,153514.42,137219.26,M8102481401,0.00,0.00,0
504,PAYMENT,12039.68,C4097887746,135826.22,123786.54,M3636366799,0.00,0.00,0
103,TRANSFER,20093.39,C4302709858,127756.10,107662.71,C2699887270,188920.70,209014.09,0
617,TRANSFER,3847.34,C6628158856,4986.95,1139.61,C4098389895,10323.98,14171.32,0
657,TRANSFER,2486.77,C9981364488,106419.13,103932.36,C7226553010,111697.39,114184.16,0
411,TRANSFER,152699.77,C3722583581,185135.11,32435.34,M4588312351,0.00,0.00,1
665,CASH_OUT,119950.31,C9943959352,193914.92,73964.61,C7552812957,71848.93,71848.93,0
328,CASH_OUT,4241.05,C2503068227,60963.77,56722.72,C7243352390,111509.73,111509.73,0
608,CASH_OUT,28813.01,C5243939720,113408.62,84595.61,C4993808565,185229.38,185229.38,0
187,PAYMENT,935.42,C1439427140,23144.52,22209.10,M9581187661,0.00,0.00,0
24,TRANSFER,161288.36,C2311597141,171000.80,9712.44,C4419410162,103393.93,264682.29,0
474,TRANSFER,178911.42,C7311011808,195648.85,16737.43,C2067970820,104640.11,104640.11,1
92,PAYMENT,3.12,C6719736115,162304.21,162301.09,M1185303518,0.00,0.00,0
539,DEBIT,459.40,C7801180691,198072.97,197613.57,M3317856944,0.00,0.00,0
209,TRANSFER,129834.56,C5428082088,137088.74,7254.18,C1091729577,83391.38,213225.94,1
212,CASH_IN,63629.20,C5703357871,57437.46,121066.66,C1515024824,11006.73,11006.73,0
429,CASH_OUT,131742.52,C4095476665,161105.08,29362.56,C2510308881,316.18,316.18,1
255,TRANSFER,9.53,C9248574674,56194.39,56184.86,C9080621072,89499.96,89509.49,0
137,CASH_IN,4955.59,C7568980185,29345.07,34300.66,C2191714875,26405.47,26405.47,0
393,CASH_OUT,1135.56,C7706193636,47575.67,46440.11,C5871743247,71592.67,71592.67,0
61,CASH_OUT,171790.70,C7070083150,146872.22,0.00,M6045729129,0.00,0.00,1
613,CASH_OUT,3255.21,C7635473142,6702.06,3446.85,C8182649048,91728.53,91728.53,0
405,PAYMENT,23.33,C1684598046,132248.00,132224.67,M4122901114,0.00,0.00,0
184,CASH_OUT,55803.95,C8791183272,72854.93,17050.98,C8695129534,104115.54,104115.54,1
544,PAYMENT,23833.67,C7757700186,177605.89,153772.22,M6866146362,0.00,0.00,0
512,CASH_OUT,5450.51,C1772303297,13223.16,7772.65,C4586139213,106696.99,106696.99,0
270,CASH_OUT,15534.05,C8239941612,133399.31,117865.26,C7022683808,153741.46,153741.46,0
169,CASH_IN,2353.40,C9369574998,55443.41,57796.81,C2214741296,81401.37,81401.37,0
674,PAYMENT,42.61,C9935429720,189720.31,189677.70,M1413599241,0.00,0.00,0
188,TRANSFER,9856.60,C1770278136,8230.29,0.00,M1357561213,0.00,0.00,1
42,CASH_IN,26884.82,C9830946410,9991.60,36876.42,C5667503195,66993.48,66993.48,0
116,CASH_OUT,1091.46,C3987248494,26075.03,24983.57,C2073755632,140870.74,140870.74,0
291,CASH_OUT,158836.95,C3316277000,153976.10,0.00,M7764117705,0.00,0.00,1
5,TRANSFER,707.75,C4633257620,37645.37,36937.62,C6470052645,124992.78,125700.53,0
511,DEBIT,21495.29,C3694860228,25165.49,3670.20,M5412437658,0.00,0.00,0
697,CASH_OUT,87961.79,C4605117440,113223.29,25261.50,M6284297249,0.00,0.00,1
676,TRANSFER,79641.49,C1110724913,157461.52,77820.03,C6910112521,107944.57,187586.06,0
338,TRANSFER,16863.53,C5483308751,131486.12,114622.59,C3480920839,33815.85,50679.38,0
583,TRANSFER,31292.68,C5227828349,28471.87,0.00,C3313993297,129528.04,129528.04,1
561,PAYMENT,561.92,C8084809436,106251.16,105689.24,M2187592160,0.00,0.00,0
409,CASH_OUT,77167.75,C7374584386,91597.25,14429.50,C6804850108,118432.63,118432.63,1
670,CASH_OUT,198926.77,C8547068234,171363.04,0.00,M4820942294,0.00,0.00,1
618,TRANSFER,144040.99,C1036351450,152454.74,8413.75,C3380064537,172219.26,172219.26,1
488,TRANSFER,39234.81,C7271954644,44377.34,5142.53,C3106408413,111856.21,151091.02,1
646,PAYMENT,10579.57,C6214917780,178427.12,167847.55,M9068916300,0.00,0.00,0
664,PAYMENT,9033.41,C3423086220,56659.40,47625.99,M2625035499,0.00,0.00,0
538,TRANSFER,236383.24,C1041531046,198292.60,0.00,M3690714075,0.00,0.00,1
308,TRANSFER,248.93,C6754503097,2259.45,2010.52,C1230624431,64846.99,65095.92,0
79,TRANSFER,28587.62,C6576426590,155421.19,126833.57,C7374810067,157785.68,186373.30,0
476,TRANSFER,9884.08,C7248258423,50622.20,40738.12,C5271453859,85293.15,95177.23,0
84,PAYMENT,572.67,C6496933442,88844.07,88271.40,M1442421654,0.00,0.00,0
187,PAYMENT,1955.36,C4633257620,36937.62,34982.26,M8869140487,0.00,0.00,0
466,PAYMENT,2350.19,C4972536230,102695.84,100345.65,M9900829971,0.00,0.00,0
192,CASH_OUT,139314.70,C2848792488,184972.27,45657.57,M9288057824,0.00,0.00,1
6,PAYMENT,4533.40,C4683585586,158895.75,154362.35,M3690714075,0.00,0.00,0
415,CASH_IN,30769.58,C1364994639,66858.93,97628.51,C6186758088,89194.54,89194.54,0
634,TRANSFER,184140.15,C2866092821,189489.74,5349.59,C1361845490,24541.89,208682.04,0
692,PAYMENT,3.05,C8531118333,97572.22,97569.17,M8861351706,0.00,0.00,0
115,TRANSFER,70.74,C7415801613,111468.06,111397.32,C7027529118,99454.76,99525.50,0
493,TRANSFER,71381.84,C5512036684,138099.45,66717.61,C9579064478,199744.67,271126.51,0
552,TRANSFER,68946.53,C6469458472,96983.70,28037.17,M1466305100,0.00,0.00,1
157,PAYMENT,5.39,C5667503195,66993.48,66988.09,M9098037639,0.00,0.00,0
461,PAYMENT,36.74,C4602080228,115193.40,115156.66,M5937271321,0.00,0.00,0
9,CASH_OUT,87799.26,C4277581356,82167.56,0.00,C9138644862,94974.28,94974.28,1
568,PAYMENT,5766.58,C4159699467,115586.28,109819.70,M7340036327,0.00,0.00,0
627,DEBIT,2008.46,C2732553940,40386.35,38377.89,M2910594463,0.00,0.00,0
63,PAYMENT,59.10,C9245348297,196723.75,196664.65,M5734228580,0.00,0.00,0
664,PAYMENT,4280.84,C8317619798,43883.27,39602.43,M9822499208,0.00,0.00,0
447,TRANSFER,67575.62,C7808938880,82808.03,15232.41,M1666898313,0.00,0.00,1
702,TRANSFER,79362.66,C7092693247,98329.67,18967.01,C8351491401,858.86,80221.52,0
135,CASH_OUT,29175.86,C9912233947,35234.80,6058.94,C8001729836,116865.24,116865.24,0
690,PAYMENT,8791.62,C4990452762,151096.79,142305.17,M7570511906,0.00,0.00,0
290,PAYMENT,529.73,C8691288568,127484.83,126955.10,M9558906999,0.00,0.00,0
161,PAYMENT,1817.14,C9138644862,94974.28,93157.14,M6786043791,0.00,0.00,0
215,CASH_IN,7799.20,C8858766173,62488.13,70287.33,C3884642366,114442.05,114442.05,0
694,TRANSFER,133250.50,C9248046539,182077.80,48827.30,C9863781331,179200.33,179200.33,1
633,CASH_OUT,142966.54,C2065354117,130868.66,0.00,C1600337712,15880.98,15880.98,1
571,CASH_OUT,34945.44,C1248704157,46465.61,11520.17,M9255306810,0.00,0.00,1
449,CASH_IN,141764.70,C3420671425,166917.04,308681.74,C4643576871,2286.88,2286.88,0
626,CASH_OUT,56397.39,C4877520294,165141.05,108743.66,C8831899893,19737.14,19737.14,0
520,CASH_OUT,148319.88,C5272119095,190516.10,42196.22,C1400330495,38651.97,38651.97,1
453,PAYMENT,410.54,C9798613995,109324.01,108913.47,M9921025990,0.00,0.00,0
373,PAYMENT,4089.66,C6717963562,195041.50,190951.84,M3831598303,0.00,0.00,0
426,PAYMENT,2349.98,C1439427140,22209.10,19859.12,M2328736852,0.00,0.00,0
518,TRANSFER,82828.53,C8351491401,80221.52,0.00,M3705237613,0.00,0.00,1
543,PAYMENT,3581.63,C5175416378,45314.89,41733.26,M6820149016,0.00,0.00,0
